read_accession,read_tot
ERR525688,43463570
ERR525689,38584370
ERR525690,32190448
ERR525691,40464870
ERR525692,39161470
ERR525693,42937478
ERR525694,47727046
ERR525695,35124948
ERR525696,32359134
ERR525697,45988314
ERR525698,33292394
ERR525699,46007694
ERR525700,56112014
ERR525701,34483208
ERR525702,33830458
ERR525703,44831856
ERR525704,39303962
ERR525705,34938956
ERR525706,45810210
ERR525707,28066862
ERR525708,33241504
ERR525709,59468788
ERR525710,46207710
ERR525711,44446232
ERR525712,54728592
ERR525713,41039488
ERR525714,37094438
ERR525715,43133190
ERR525716,49156010
ERR525717,46858036
ERR525718,40643948
ERR525719,38277746
ERR525720,37956792
ERR525721,49816686
ERR525722,45418536
ERR525723,46764844
ERR525724,46976418
ERR525725,36907198
ERR525726,45215738
ERR525727,49068066
ERR525728,32767370
ERR525729,42149344
ERR525730,40111076
ERR525731,40861104
ERR525732,37329852
ERR525733,38204650
ERR525734,47059706
ERR525735,48318830
ERR525736,41148086
ERR525737,39186996
ERR525738,42024258
ERR525739,43127348
ERR525740,32288582
ERR525741,38701110
ERR525742,39715142
ERR525743,34162752
ERR525744,35833392
ERR525745,35592816
ERR525746,41788864
ERR525747,39422524
ERR525748,30772752
ERR525749,40594850
ERR525750,37340930
ERR525751,42663986
ERR525752,33940104
ERR525753,39197864
ERR525754,46358184
ERR525755,33556378
ERR525756,41402208
ERR525757,48370738
ERR525758,40734612
ERR525759,43700172
ERR525760,28787190
ERR525761,31234646
ERR525762,33427424
ERR525763,36428368
ERR525764,28158672
ERR525765,26649702
ERR525766,39178396
ERR525767,26846296
ERR525768,44937242
ERR525769,35679214
ERR525770,42123394
ERR525771,39996650
ERR525772,51251734
ERR525773,32270626
ERR525774,35868564
ERR525775,48008608
ERR525776,19243366
ERR525777,26813814
ERR525778,32139690
ERR525779,28646558
ERR525780,21460504
ERR525781,27073208
ERR525782,18190934
ERR525783,18836790
ERR525784,43784036
ERR525785,40074612
ERR525786,32360152
ERR525787,36991960
ERR525788,39809976
ERR525789,30572394
ERR525790,32993598
ERR525791,46189152
ERR525792,36623868
ERR525793,34894128
ERR525794,29771200
ERR525795,48242366
ERR525796,44580812
ERR525797,40413924
ERR525798,29701504
ERR525799,30089092
ERR525800,45181434
ERR525801,43427816
ERR525802,41776172
ERR525803,33724818
ERR525804,50894984
ERR525805,33140862
ERR525806,31857032
ERR525807,38200334
ERR525808,35120446
ERR525809,35534108
